,word,count
476,calling,5
477,private,5
478,beach,5
479,man,5
480,using,5
481,confirmed,5
482,real,5
483,current,5
484,keep,5
485,leave,5
486,announced,5
487,citizens,5
488,scientists,5
489,develop,4
490,taking,4
491,moderna,4
492,significant,4
493,wrong,4
494,does,4
495,governments,4
496,mandates,4
497,age,4
498,package,4
499,part,4
500,goes,4
501,vitamin,4
502,black,4
503,single,4
504,send,4
505,reopening,4
506,protect,4
507,issued,4
508,diseases,4
509,system,4
510,trial,4
511,month,4
512,february,4
513,increased,4
514,vast,4
515,outside,4
516,left,4
517,shut,4
518,border,4
519,november,4
520,counties,4
521,tried,4
522,department,4
523,industry,4
524,pfizer,4
525,proves,4
526,place,4
527,compared,4
528,report,4
529,authority,4
530,sports,4
531,able,4
532,herd,4
533,population,4
534,technology,4
535,again,4
536,live,4
537,having,4
538,twice,4
539,least,4
540,common,4
541,cause,4
542,breaking,4
543,banned,4
544,big,4
545,care,4
546,dna,4
547,doesnt,4
548,sen,4
549,experts,4
550,use,4
551,th,4
552,georgia,4
553,killing,4
554,problem,4
555,democratic,4
556,removed,4
557,failed,4
558,icu,4
559,seen,4
560,campaign,4
561,started,4
562,surge,4
563,behind,4
564,wisconsins,4
565,that's,4
566,protection,4
567,capita,4
568,seasonal,4
569,flag,4
570,immune,4
571,call,4
572,probably,4
573,it's,4
574,fever,4
575,soros,4
576,disease,4
577,rooms,4
578,related,4
579,hot,4
580,claim,4
581,service,4
582,zero,4
583,drug,4
584,lowest,4
585,wave,4
586,team,4
587,threat,4
588,something,4
589,epidemic,4
590,let,4
591,carrying,4
592,clear,4
593,guidelines,4
594,oklahoma,4
595,tweeted,4
596,happened,4
597,moment,4
598,osha,4
599,street,4
600,deadly,4
601,refused,4
602,italian,4
603,instead,4
604,might,4
605,beaches,4
606,stands,4
607,basis,4
608,each,4
609,stores,4
610,mass,4
611,ventilators,4
612,stock,4
613,predicted,4
614,water,4
615,takes,3
616,side,3
617,effects,3
618,once,3
619,funds,3
620,local,3
621,gives,3
622,difference,3
623,tom,3
624,hanks,3
625,office,3
626,blame,3
627,economic,3
628,san,3
629,francisco,3
630,illegal,3
631,everybody,3
632,immigrants,3
633,budget,3
634,senate,3
635,nurse,3
636,criminals,3
637,andrew,3
638,cuomo,3
639,legal,3
640,giving,3
641,adults,3
642,nc,3
643,start,3
644,kinds,3
645,create,3
646,fake,3
647,mayor,3
648,game,3
649,includes,3
650,revenue,3
651,enrolled,3
652,tracking,3
653,losses,3
654,result,3
655,benefit,3
656,there's,3
657,sitting,3
658,bidens,3
659,roy,3
660,issue,3
661,ballots,3
662,prisoners,3
663,politicians,3
664,ahead,3
665,individuals,3
666,highrisk,3
667,allowing,3
668,old,3
669,super,3
670,fda,3
671,average,3
672,recipients,3
673,ready,3
674,violating,3
675,require,3
676,inperson,3
677,learning,3
678,increases,3
679,makes,3
680,necessary,3
681,such,3
682,period,3
683,white,3
684,scientific,3
685,payments,3
686,hes,3
687,dangerous,3
688,seem,3
689,adverse,3
690,humans,3
691,contain,3
692,track,3
693,developed,3
694,closing,3
695,recent,3
696,centers,3
697,survival,3
698,ages,3
699,gas,3
700,passes,3
701,guidance,3
702,microchip,3
703,officials,3
704,patient,3
705,pope,3
706,francis,3
707,enter,3
708,total,3
709,restaurants,3
710,cnn,3
711,october,3
712,knows,3
713,controlled,3
714,effectiveness,3
715,reduce,3
716,daughter,3
717,known,3
718,price,3
719,treatment,3
720,signed,3
721,ineffective,3
722,nationwide,3
723,kelly,3
724,multiple,3
725,parts,3
726,recommends,3
727,quarantined,3
728,protective,3
729,curve,3
730,racist,3
731,jobs,3
732,infected,3
733,clearly,3
734,worse,3
735,close,3
736,yet,3
737,release,3
738,arent,3
739,themselves,3
740,dems,3
741,hope,3
742,wasnt,3
743,far,3
744,released,3
745,walter,3
746,reed,3
747,great,3
748,reelection,3
749,count,3
750,hit,3
751,implemented,3
752,access,3
753,mississippi,3
754,factor,3
755,received,3
756,paycheck,3
757,zoom,3
758,kind,3
759,mike,3
760,beds,3
761,canada,3
762,production,3
763,others,3
764,hard,3
765,lower,3
766,amid,3
767,decided,3
768,alone,3
769,eliminate,3
770,told,3
771,labs,3
772,minnesota,3
773,authorized,3
774,nih,3
775,chloroquine,3
776,postal,3
777,little,3
778,young,3
779,lists,3
780,deal,3
781,studied,3
782,debt,3
783,totally,3
784,moved,3
785,monitor,3
786,odd,3
787,impeachment,3
788,russian,3
789,allows,3
790,transmission,3
791,contact,3
792,pneumonia,3
793,abortion,3
794,chance,3
795,reopened,3
796,warning,3
797,residents,3
798,possible,3
799,secretary,3
800,future,3
801,currently,3
802,pushing,3
803,deemed,3
804,basically,3
805,best,3
806,gloves,3
807,set,3
808,telling,3
809,wont,3
810,discover,3
811,rob,3
812,protest,3
813,treat,3
814,approval,3
815,things,3
816,worry,3
817,planned,3
818,jacksonville,3
819,folks,3
820,kennedy,3
821,pbs,3
822,exactly,3
823,fast,3
824,cut,3
825,corporation,3
826,buying,3
827,messages,3
828,mar,3
829,arrested,3
830,hn,3
831,sanitizer,3
832,air,3
833,life,3
834,buy,3
835,market,3
836,record,3
837,israel,3
838,sorry,2
839,effectively,2
840,tell,2
841,via,2
842,movie,2
843,based,2
844,enforcing,2
845,policy,2
846,borders,2
847,bailout,2
848,bonus,2
849,actor,2
850,prices,2
851,included,2
852,cover,2
853,homeless,2
854,releasing,2
855,d,2
856,c,2
857,silver,2
858,oil,2
859,schumer,2
860,members,2
861,amendment,2
862,democrat,2
863,fluid,2
864,floor,2
865,suggests,2
866,blanket,2
867,snuck,2
868,card,2
869,prior,2
870,elections,2
871,change,2
872,chuck,2
873,perfectly,2
874,spending,2
875,shutting,2
876,nba,2
877,weekend,2
878,meaning,2
879,covidrelated,2
880,projects,2
881,complaining,2
882,yourself,2
883,lags,2
884,leader,2
885,lockdowns,2
886,suicide,2
887,previous,2
888,bills,2
889,living,2
890,normal,2
891,cooper,2
892,hotel,2
893,illegals,2
894,charge,2
895,absentee,2
896,else,2
897,dakota,2
898,virtually,2
899,war,2
900,committee,2
901,leading,2
902,maskless,2
903,nebraska,2
904,daca,2
905,healthcare,2
906,share,2
907,pharma,2
908,stand,2
909,funded,2
910,illegally,2
911,jump,2
912,improperly,2
913,listed,2
914,causes,2
915,seeing,2
916,decline,2
917,legislature,2
918,either,2
919,security,2
920,negative,2
921,executive,2
922,short,2
923,ever,2
924,process,2
925,distribute,2
926,particularly,2
927,community,2
928,racial,2
929,disparity,2
930,covids,2
931,impact,2
932,families,2
933,income,2
934,ranks,2
935,norway,2
936,within,2
937,reach,2
938,rep,2
939,capitol,2
940,experimental,2
941,university,2
942,robert,2
943,asymptomatic,2
944,isn't,2
945,driving,2
946,serious,2
947,politician,2
948,statement,2
949,caused,2
950,announces,2
951,par,2
952,lie,2
953,cancer,2
954,female,2
955,sterilization,2
956,images,2
957,story,2
958,ability,2
959,randomized,2
960,sarscov,2
961,statistically,2
962,significantly,2
963,recovered,2
964,respiratory,2
965,absolutely,2
966,remdesivir,2
967,someone,2
968,entire,2
